ArtID,Author,AutID
BZTK5NF4,"Anderson, Herbert",Aut1
UVZ2G8BR,"Anderson, Victor",Aut2
NWIX65H7,"Anderson, Victor",Aut2
DTGSZDT5,"Andrews, Dale P.",Aut3
JP898IVV,"Andrews, Dale P.",Aut3
ZZAICG72,"Andrews, Dale P.",Aut3
I6KFKVZJ,"Armour, Ellen T.",Aut4
VQQ58JI4,"Armour, Ellen T.",Aut4
EMN35GIC,"Attridge, Harold W.",Aut5
QPSU7X6K,"Barnes, Sandra L.",Aut6
K6MTIUT4,"Barnes, Sandra L.",Aut6
6DNWMME7,"Barnes, Sandra L.",Aut6
2KE6MTA2,"Barnes, Sandra L.",Aut6
4QHEUD3F,"Barnes, Sandra L.",Aut6
5QX72EUI,"Barnes, Sandra L.",Aut6
WM6EAGTJ,"Barnes, Sandra L.",Aut6
HEHREDTU,"Barnes, Sandra L.",Aut6
SXWCCP35,"Barnes, Sandra L.",Aut6
ZDXPKKB4,"Barnes, Sandra L.",Aut6
E356BQUC,"Barnes, Sandra L.",Aut6
INM44PCR,"Barnes, Sandra L.",Aut6
JNG9S3DR,"Barnes, Sandra L.",Aut6
Q42VZWHK,"Barnes, Sandra L.",Aut6
UHDAQ4TM,"Barnes, Sandra L.",Aut6
VAR9CIEZ,"Barnes, Sandra L.",Aut6
G2C2JFA8,"Barnes, Sandra L.",Aut6
2KE6MTA2,"Best, Candace",Aut7
3BT28NEW,"Bevans, Stephen B.",Aut8
3BT28NEW,"Braxton, Brad Ronnell",Aut9
GNNSXSM2,"Buckley, James J.",Aut10
2KE6MTA2,"Burton, E. Thomoseo",Aut11
2KE6MTA2,"Bynum, Mia Smith",Aut12
MIVGZNPD,"Byrd, James P.",Aut13
FAGVRXD3,"Byrd, James P.",Aut13
PU5Z6PEX,"Byrd, James P.",Aut13
3BT28NEW,"Cahalan, Kathleen A.",Aut14
EMN35GIC,"Cumming, Joseph",Aut15
NW84NRHJ,"DeHart, Paul J",Aut16
6DNWMME7,"Dorsey, Joseph C.",Aut17
QKIUBM6R,"Eppehimer, Trevor",Aut18
GNNSXSM2,"Floyd-Thomas, Stacey M",Aut19
3BT28NEW,"Frank, Thomas Edward",Aut20
M5DAIX66,"Geller, Jay",Aut21
S5386EHW,"Geller, Jay",Aut21
TG6I9JKN,"Geller, Jay",Aut21
897CCZ29,"Geller, Jay",Aut21
C6FS7DRA,"Geller, Jay",Aut21
3BT28NEW,"Greider, Kathleen J.",Aut22
I2KZWCE7,"Hamman, Jaco J.",Aut23
9TJRKBP3,"Hamman, Jaco J.",Aut23
RA7E7IEW,"Hamman, Jaco J.",Aut23
VPFR7P5H,"Hamman, Jaco J.",Aut23
N7VRTK35,"Hamman, Jaco J.",Aut23
3BT28NEW,"Hess, Carol Lakey",Aut24
6QMG5C2F,"Jensen, Robin M.",Aut25
FBHW3D68,"Jensen, Robin M.",Aut25
GNNSXSM2,"Jensen, Tim",Aut26
AF2IQBZI,"Knight, Douglas A.",Aut27
JXH24K83,"Krahn, Anne Marie",Aut28
CEVZDCVS,"LeVine, Mark",Aut29
SZQPMEQ9,"Lim, Paul C. H.",Aut30
BEC4DUUK,"McClure, John S",Aut31
82UN7UMN,"McClure, John S.",Aut32
V3FD9C6N,"Meeks, M Douglas",Aut33
DFVI4VRE,"Michelson, David A.",Aut34
3BT28NEW,"Miller-McLemore, Bonnie J.",Aut35
DEZTGVWE,"Miller-McLemore, Bonnie J.",Aut35
7NIN2ZJR,"Miller-McLemore, Bonnie J.",Aut35
JXH24K83,"Miller-McLemore, Bonnie J.",Aut35
83EGGPUZ,"Miller-McLemore, Bonnie J.",Aut35
VKKXWB2W,"Miller-McLemore, Bonnie J.",Aut35
BZTK5NF4,"Miller-McLemore, Bonnie J.",Aut35
2QUC36D3,"Miller-McLemore, Bonnie J.",Aut35
EGJWSHJQ,"Miller-McLemore, Bonnie J.",Aut35
7UUX3TU6,"Miller-McLemore, Bonnie J.",Aut35
QUXSWEHT,"Miller-McLemore, Bonnie J.",Aut35
J73Q2JNP,"Miller-McLemore, Bonnie J.",Aut35
2K3MD49Z,"Miller-McLemore, Bonnie J.",Aut35
26HI6F5X,"Miller-McLemore, Bonnie J.",Aut35
86AUXWSC,"Miller-McLemore, Bonnie J.",Aut35
URCK287K,"Miller-McLemore, Bonnie J.",Aut35
HWPI3CNT,"Miller-McLemore, Bonnie J.",Aut35
PEDJ7JRM,"Miller-McLemore, Bonnie J.",Aut35
XSXWCW7Q,"Miller-McLemore, Bonnie J.",Aut35
QVXDVSRM,"Miller-McLemore, Bonnie J.",Aut35
PD5TDTI4,"Miller-McLemore, Bonnie J.",Aut35
RAXERTP5,"Miller-McLemore, Bonnie J.",Aut35
6NV9663K,"Miller-McLemore, Bonnie J.",Aut35
ZWCTW2DK,"Miller-McLemore, Mark",Aut36
IS9PH3IH,"Miller-McLemore, Mark",Aut36
STKZ9PR5,"Morrill, Bruce T.",Aut37
3SC3KRI8,"Morrill, Bruce T.",Aut37
3TRF5PHJ,"Morrill, Bruce T.",Aut37
I9HQK33H,"Morrill, Bruce T.",Aut37
29QZS6C5,"Morrill, Bruce T.",Aut37
UKE7BI6A,"Morrill, Bruce T.",Aut37
5QX72EUI,"Nwosu, Oluchi C.",Aut38
QPSU7X6K,"Nwosu, Oluchi C.",Aut38
FPEMH4WZ,"Rogers-Vaughn, Bruce",Aut39
G47MHPCA,"Segovia, Fernando F.",Aut40
X4IWKIQ5,"Segovia, Fernando F.",Aut40
WV9EX8W8,"Segovia, Fernando F.",Aut40
WD7KG637,"Segovia, Fernando F.",Aut40
PEDJ7JRM,"Smith, Ted A.",Aut41
656GRD42,"Snarr, C Melissa",Aut42
WM6EAGTJ,"Stringer, Ebonie Cunningham",Aut43
HEHREDTU,"Stringer, Ebonie Cunningham",Aut43
K6MTIUT4,"Stringer, Ebonie Cunningham",Aut43
2K3MD49Z,"Tornquist, Paul",Aut44
EMN35GIC,"Townes, Emilie M.",Aut45
HFZ4U584,"Townes, Emilie M.",Aut45
GQFX454U,"Townes, Emilie M.",Aut45
KHH4KSFE,"Townes, Emilie M.",Aut45
QH7A387M,"Townes, Emilie M.",Aut45
8XCEQ7CE,"Townes, Emilie M.",Aut45
ZP7H37GX,"Townes, Emilie M.",Aut45
3BT28NEW,"Turpin, Katherine",Aut46
EMN35GIC,"Volf, Miroslav",Aut47
GNNSXSM2,"Webster, Jane S.",Aut48
3BT28NEW,"Witvliet, John D.",Aut49
