ArtID,Journal Title,JID
HFZ4U584,American Baptist Quarterly,J1
UVZ2G8BR,American Journal of Theology & Philosophy,J2
X4IWKIQ5,Apuntes,J3
FBHW3D68,ARTS,J4
QKIUBM6R,Black Theology,J5
7NIN2ZJR,Christian Century,J6
KHH4KSFE,Christian Century,J6
QH7A387M,Christian Century,J6
URCK287K,Christian Century,J6
PEDJ7JRM,Christian Century,J6
PD5TDTI4,Christian Century,J6
FAGVRXD3,Church History,J7
IS9PH3IH,Congregations,J8
82UN7UMN,Congregations,J8
ZP7H37GX,Criterion,J9
S5386EHW,Critical Research on Religion,J10
2K3MD49Z,Estudos teológicos,J11
JXH24K83,Estudos teológicos,J11
NWIX65H7,Faith and Freedom,J12
K6MTIUT4,Family Relations,J13
WM6EAGTJ,Feminist Criminology,J14
HEHREDTU,Feminist Criminology,J14
G47MHPCA,Feminist Theology,J15
J73Q2JNP,Insights,J16
I6KFKVZJ,International Journal for Philosophy of Religion,J17
EMN35GIC,International Journal of Frontier Missiology,J18
83EGGPUZ,International Journal of Practical Theology,J19
VKKXWB2W,International Journal of Practical Theology,J19
3BT28NEW,International Journal of Practical Theology,J19
XSXWCW7Q,International Journal of Practical Theology,J19
AF2IQBZI,Interpretation,J20
V3FD9C6N,Interpretation,J20
6QMG5C2F,Interpretation,J20
VAR9CIEZ,Journal for the Scientific Study of Religion,J21
WV9EX8W8,Journal for the Study of the New Testament,J22
5QX72EUI,Journal of African American Studies,J23
ZDXPKKB4,Journal of African American Studies,J23
2KE6MTA2,Journal of African American Studies,J23
INM44PCR,Journal of African American Studies,J23
6DNWMME7,Journal of African American Studies,J23
PU5Z6PEX,Journal of American History,J24
2QUC36D3,Journal of Childhood and Religion,J25
EGJWSHJQ,Journal of Childhood and Religion,J25
CEVZDCVS,Journal of Ecumenical Studies,J26
DTGSZDT5,Journal of Family Ministry,J27
JP898IVV,Journal of Family Ministry,J27
HWPI3CNT,Journal of Pastoral Care & Counseling,J28
FPEMH4WZ,Journal of Pastoral Theology,J29
QUXSWEHT,Journal of Pastoral Theology,J29
Q42VZWHK,Journal of Poverty,J30
UHDAQ4TM,Journal of Poverty,J30
QPSU7X6K,Journal of Refugee Studies,J31
QVXDVSRM,Journal of Religion,J32
RAXERTP5,Journal of Religion,J32
TG6I9JKN,Journal of Religious History,J33
ZWCTW2DK,Journal of Religious Leadership,J34
8XCEQ7CE,Journal of the American Academy of Religion,J35
VQQ58JI4,Journal of the American Academy of Religion,J35
656GRD42,Journal of the Society of Christian Ethics,J36
3TRF5PHJ,Liturgical Ministry,J37
I9HQK33H,Liturgical Ministry,J37
29QZS6C5,Liturgical Ministry,J37
UKE7BI6A,Liturgical Ministry,J37
BEC4DUUK,München : Chr. Kaise,J41
M5DAIX66,Method & Theory in the Study of Religion,J38
C6FS7DRA,Modern Judaism,J39
NW84NRHJ,Modern Theology,J40
9TJRKBP3,Pastoral Psychology,J42
DEZTGVWE,Pastoral Psychology,J42
RA7E7IEW,Pastoral Psychology,J42
VPFR7P5H,Pastoral Psychology,J42
BZTK5NF4,Pastoral Psychology,J42
7UUX3TU6,Pastoral Psychology,J42
N7VRTK35,Pastoral Psychology,J42
26HI6F5X,Pastoral Psychology,J42
I2KZWCE7,Pastoral Psychology,J42
6NV9663K,Pastoral Psychology,J42
86AUXWSC,Practical Theology,J43
WD7KG637,Princeton Seminary Bulletin,J44
STKZ9PR5,Proceedings of the Catholic Theological Society of America,J45
3SC3KRI8,Proceedings of the Catholic Theological Society of America,J45
G2C2JFA8,"Race, Gender & Class",J46
SZQPMEQ9,Reformation,J47
4QHEUD3F,Review of Religious Research,J48
SXWCCP35,Review of Religious Research,J48
JNG9S3DR,Review of Religious Research,J48
E356BQUC,Sociological Spectrum,J49
GNNSXSM2,Teaching Theology & Religion,J50
897CCZ29,The Germanic Review,J51
ZZAICG72,The Review of Faith & International Affairs,J52
GQFX454U,Theological Education,J53
MIVGZNPD,Theological Studies,J54
DFVI4VRE,Theological Studies,J54
